THE 69221160871 -493
AND 26468697834 -631
ING 21289988294 -663
ION 20449402244 -669
TIO 16819216214 -697
ENT 15514431359 -708
ATI 11778016773 -748
FOR 11352182252 -753
HER 10921772146 -759
TER 10298054230 -768
HAT 9595332482 -778
THA 9447439870 -780
ERE 8939106849 -788
ATE 8757480213 -791
HIS 8073090301 -803
CON 8068814778 -803
RES 7496974307 -813
VER 7415630371 -815
ALL 7317964040 -817
ONS 7187472617 -819
NCE 6936472580 -825
MEN 6889167446 -826
ITH 6795041998 -828
TED 6610757134 -832
ERS 6524449179 -833
PRO 6441091673 -835
THI 6357454845 -837
WIT 6270098257 -839
ARE 6050931663 -844
ESS 5961685248 -846
NOT 5871622477 -849
IVE 5738676234 -852
WAS 5723542738 -852
ECT 5633214660 -855
REA 5614636634 -855
COM 5512716986 -858
EVE 5367611215 -862
PER 5340402298 -862
INT 5272125236 -864
EST 5093021295 -869
STA 5003705570 -872
CTI 4965296625 -873
ICA 4851083411 -876
IST 4696789776 -881
EAR 4565761282 -885
AIN 4507928531 -887
ONE 4425109105 -889
OUR 4406006814 -890
ITI 4405426644 -890
RAT 4343095846 -892
NTE 4326059573 -893
TIN 4314722175 -893
INE 4289473708 -894
DER 4270017146 -895
OME 4215212970 -896
MAN 4170329466 -898
PRE 4165466522 -898
ROM 4120910706 -900
TRA 4103386993 -900
WHI 4056368486 -902
AVE 4051571914 -902
STR 4004702365 -904
ACT 3996307044 -904
ILL 3995118251 -904
URE 3944467758 -906
IDE 3916831962 -907
OVE 3916118810 -907
CAL 3912525152 -907
BLE 3874673895 -909
OUT 3862229953 -909
STI 3838372232 -910
TIC 3827724881 -910
OUN 3822970506 -911
ENC 3804294828 -911
ORE 3797463503 -911
ANT 3755591976 -913
ITY 3740314311 -914
FRO 3734044758 -914
ART 3726591176 -914
TUR 3716216523 -915
PAR 3691428919 -916
RED 3671917165 -916
OTH 3662729446 -917
ERI 3634984261 -918
HIC 3617867236 -918
IES 3606387088 -919
STE 3592565889 -919
GHT 3589011577 -920
ICH 3577428959 -920
IGH 3553478573 -921
UND 3541129200 -922
YOU 3526888940 -922
ORT 3525114055 -922
ERA 3467154217 -925
WER 3454801393 -925
NTI 3452787542 -925
OUL 3393996042 -928
NDE 3371859569 -929
IND 3370038532 -929
THO 3369505315 -929
HOU 3342574324 -930
NAL 3328174739 -931
BUT 3288060978 -932
HAV 3269289459 -933
ULD 3260062247 -933
USE 3249161948 -934
HAN 3236577761 -935
HIN 3192784848 -937
EEN 3150099353 -938
CES 3146412304 -939
COU 3131814971 -939
LAT 3128928842 -939
TOR 3117606678 -940
ESE 3083065459 -942
AGE 3079371068 -942
AME 3063470381 -942
RIN 3061940657 -943
ANC 3061152975 -943
TEN 3046276919 -943
HEN 3028124771 -944
MIN 3014281990 -945
EAS 2978912999 -947
CAN 2944892098 -948
LIT 2944248001 -948
CHA 2937894826 -949
OUS 2923340166 -949
EAT 2920916694 -949
END 2874159170 -952
SSI 2855479709 -953
IAL 2846884929 -953
LES 2840778947 -953
REN 2834101790 -954
TIV 2823963719 -954
NTS 2819913821 -954
WHE 2819913224 -954
TAT 2816539690 -955
ABL 2813941563 -955
DIS 2773684939 -957
RAN 2756632817 -958
WOR 2730928730 -959
ROU 2725119281 -959
LIN 2717930332 -960
HAD 2716612700 -960
SED 2712220619 -960
ONT 2709693161 -960
PLE 2709301962 -960
UGH 2701766755 -961
INC 2670371826 -962
SIO 2666874725 -962
DIN 2664194678 -963
RAL 2641166088 -964
UST 2626257068 -965
TAN 2585346335 -967
NAT 2583946305 -967
INS 2580114109 -967
ASS 2562588038 -968
PLA 2561364747 -968
VEN 2561186428 -968
ELL 2560301401 -968
SHE 2537293543 -970
OSE 2536016912 -970
ITE 2534327799 -970
LLY 2527757315 -970
REC 2526083797 -970
LAN 2505261403 -971
ARD 2487791987 -973
HEY 2482083623 -973
RIE 2479665577 -973
POS 2464211596 -974
EME 2455833072 -974
MOR 2447547857 -975
DEN 2429526864 -976
OUG 2428002205 -976
TTE 2421458175 -976
NED 2407171853 -977
RIT 2393330568 -978
IME 2376231548 -979
SIN 2346887414 -981
AST 2340144326 -981
ANY 2326409599 -982
ORM 2324611512 -982
NDI 2324589034 -982
ONA 2322176393 -982
SPE 2318638245 -983
ENE 2315419652 -983
HEI 2313435041 -983
RIC 2308293732 -983
ICE 2294801209 -984
ORD 2286715485 -985
OMP 2282867653 -985
NES 2282287423 -985
SEN 2279307132 -985
TIM 2278831703 -985
TRI 2274907285 -985
ERN 2267519557 -986
TES 2254187013 -987
POR 2253847267 -987
APP 2250639905 -987
LAR 2206970736 -990
NTR 2204208420 -990
EIR 2204032234 -990
SHO 2200493723 -990
SON 2170183171 -992
CAT 2166573173 -992
LLE 2165623064 -993
NER 2164964142 -993
HES 2163142912 -993
WHO 2160306172 -993
MAT 2157479849 -993
ASE 2154434497 -993
KIN 2151792089 -993
OST 2150055872 -994
BER 2140061455 -994
ITS 2139410770 -994
NIN 2139022753 -994
LEA 2131394724 -995
INA 2115500516 -996
MPL 2114302261 -996
STO 2113597230 -996
ARI 2098441070 -997
PRI 2094394221 -997
OWN 2094281927 -997
ALI 2092006545 -997
REE 2078805186 -998
ISH 2074242414 -999
DES 2065715430 -999
EAD 2060206998 -1000
NST 2054599822 -1000
SIT 2052297953 -1000
SES 2048207199 -1001
ANS 2026036276 -1002
HAS 2017612960 -1003
GRE 2001721438 -1004
ONG 2001446810 -1004
ALS 2000332681 -1004
FIC 1997879534 -1004
UAL 1996324956 -1004
IEN 1995121823 -1004
GEN 1991701772 -1005
SER 1987057848 -1005
UNT 1982548278 -1005
ECO 1981693790 -1005
NTA 1978715787 -1006
ACE 1977975504 -1006
CHI 1975189149 -1006
FER 1975124250 -1006
TAL 1972799407 -1006
LOW 1970111275 -1006
ACH 1966761386 -1006
IRE 1964868193 -1007
ANG 1962979826 -1007
SSE 1960826586 -1007
GRA 1959140336 -1007
MON 1955584919 -1007
FFE 1952351948 -1007
RAC 1946702195 -1008
SEL 1944734073 -1008
UNI 1943038289 -1008
AKE 1943012492 -1008
ARY 1933364771 -1009
WIL 1932036855 -1009
LED 1931510341 -1009
DED 1927628435 -1009
SOM 1911763476 -1010
OWE 1902222370 -1011
HAR 1901770930 -1011
INI 1891645157 -1012
OPE 1888113123 -1012
NGE 1885057822 -1013
UCH 1883741792 -1013
REL 1881145045 -1013
CHE 1879547813 -1013
ADE 1878265265 -1013
ATT 1875749484 -1013
CIA 1873567925 -1013
EXP 1868948910 -1014
MER 1866252229 -1014
LIC 1856452455 -1015
HEM 1837812879 -1016
ERY 1835595583 -1016
NSI 1823155367 -1017
OND 1821563403 -1017
RTI 1821040658 -1018
DUC 1819169719 -1018
HOW 1815729773 -1018
ERT 1809544701 -1018
SEE 1801727547 -1019
NOW 1791229670 -1020
IMP 1787558291 -1020
ABO 1787056888 -1020
PEC 1784226987 -1020
CEN 1783826555 -1020
RIS 1782076111 -1021
MAR 1775964347 -1021
ENS 1770996323 -1022
TAI 1765027033 -1022
ELY 1751308590 -1023
OMM 1747661259 -1023
SUR 1735122761 -1024
HEA 1719821233 -1026
ULA 1713255664 -1026
ULT 1712422601 -1026
ILI 1696501308 -1028
BEE 1688792738 -1028
ORK 1683087659 -1029
LIS 1682095398 -1029
NIT 1679865263 -1029
ORI 1679533364 -1029
THR 1673179164 -1030
ATH 1656426922 -1031
VEL 1654573696 -1031
TIE 1642539281 -1032
ANI 1625600626 -1034
CUL 1623340608 -1034
HIL 1623042285 -1034
TEM 1622557132 -1034
RIA 1619408655 -1034
TRE 1616513740 -1035
IVI 1606414119 -1036
VES 1605862116 -1036
PEN 1603639140 -1036
CRE 1603148614 -1036
OLL 1597970087 -1036
ELE 1594486155 -1037
LON 1587180640 -1037
WAR 1583926445 -1038
EQU 1583257479 -1038
TRO 1582672298 -1038
EAL 1576388073 -1038
REP 1574573479 -1038
ELI 1573591451 -1039
IAN 1569158397 -1039
SID 1568981834 -1039
ISE 1568344516 -1039
ERV 1556518611 -1040
TRU 1549162360 -1041
ILE 1548861086 -1041
QUE 1540834455 -1042
HIM 1537248696 -1042
MED 1533532886 -1042
WOU 1530956183 -1043
FIN 1520863786 -1043
UCT 1516594336 -1044
OLD 1505803220 -1045
OOD 1500709917 -1045
COR 1495416668 -1046
NEW 1494928759 -1046
EAC 1481161790 -1047
ERM 1475075676 -1048
FAC 1472843774 -1048
BOU 1471128114 -1048
ACK 1464619127 -1049
SUC 1463698853 -1049
EDI 1451750421 -1050
NTO 1449629791 -1050
CAR 1448156884 -1051
OLI 1443365710 -1051
NLY 1440124041 -1051
MIL 1439084774 -1051
EED 1437607478 -1052
WAY 1431027289 -1052
ROP 1428409887 -1053
ITA 1427457862 -1053
ETH 1414693947 -1054
ECI 1414091861 -1054
UTI 1414080695 -1054
MAY 1412466904 -1054
ICI 1411469580 -1054
WHA 1407866798 -1055
RMA 1402784961 -1055
ARA 1392894978 -1056
QUI 1384393039 -1057
REM 1380269169 -1057
MBE 1376365247 -1058
FTE 1371492548 -1058
RST 1364987497 -1059
VED 1359443941 -1060
CTE 1357259543 -1060
NDS 1350307486 -1061
FIR 1350121749 -1061
LIE 1348622147 -1061
MET 1345596441 -1061
OOK 1340578410 -1062
MOS 1336327519 -1062
MES 1335784567 -1062
ACC 1335476272 -1062
VIN 1335241247 -1062
GIN 1329414655 -1063
ETE 1324106156 -1063
RGE 1318433016 -1064
OIN 1315707093 -1064
ARR 1315150675 -1064
HOL 1312505295 -1065
IGN 1312444251 -1065
SEC 1311031779 -1065
PON 1310917185 -1065
ESI 1310432300 -1065
TLY 1303246357 -1066
EMP 1301427587 -1066
SIS 1299963406 -1066
IED 1296080290 -1067
OTE 1295951836 -1067
RTH 1294805606 -1067
MAL 1292178604 -1067
COL 1288310679 -1067
DIT 1282288818 -1068
BLI 1279029992 -1068
RON 1278719824 -1069
GES 1276369776 -1069
SHI 1275044982 -1069
CIE 1273539579 -1069
ATU 1271862404 -1069
RET 1268237862 -1070
GER 1268117314 -1070
REF 1267265138 -1070
OLO 1265524937 -1070
AUS 1262012449 -1070
RCH 1261302449 -1070
LAC 1257561661 -1071
LLO 1256491417 -1071
TLE 1251635091 -1072
TIT 1246928327 -1072
IFI 1245924749 -1072
HOS 1244713023 -1072
BEC 1241611218 -1073
PEA 1240165018 -1073
ECE 1236102954 -1073
LLI 1236074227 -1073
ONC 1235335543 -1073
RCE 1234682633 -1074
FUL 1234540963 -1074
GRO 1230277639 -1074
ORS 1222304913 -1075
LAS 1220793842 -1075
RIO 1220235046 -1075
ARS 1217318786 -1076
CED 1216728247 -1076
WIN 1216304177 -1076
ONL 1214820120 -1076
VID 1212096337 -1076
NGS 1209854635 -1077
IOU 1207913620 -1077
ORY 1206606762 -1077
CLE 1202720861 -1077
LEC 1201130773 -1078
ITT 1197174866 -1078
URI 1196296508 -1078
OSS 1189532371 -1079
RTA 1187187660 -1079
CER 1185469813 -1079
POL 1183491197 -1080
NIS 1182596115 -1080
ARL 1178491856 -1080
EXT 1175724950 -1081
HED 1175539685 -1081
PPE 1171579952 -1081
ISI 1170738876 -1081
VAL 1167421106 -1082
ARG 1163598275 -1082
RIG 1158099454 -1083
NSE 1155938022 -1083
HOR 1153746894 -1083
ISS 1152026468 -1084
IAT 1151580638 -1084
CRI 1150300966 -1084
ELA 1149221682 -1084
ESP 1148639931 -1084
ITU 1144223267 -1085
TWO 1144145849 -1085
NOR 1141113001 -1085
RSE 1140048363 -1085
OFF 1138112310 -1085
IFF 1137844863 -1085
TEL 1137132381 -1085
ETI 1133782356 -1086
IRS 1132908546 -1086
CUR 1129852214 -1086
AID 1127820011 -1087
BET 1126658971 -1087
RAI 1122870370 -1087
CAS 1118830228 -1088
TIL 1115377334 -1088
LSO 1113441267 -1088
CHO 1111222473 -1089
EAN 1111113412 -1089
OCI 1107578343 -1089
TAB 1104333417 -1090
QUA 1103867434 -1090
FFI 1102521640 -1090
USI 1101229824 -1090
MPO 1098955147 -1090
DIA 1097668021 -1091
IKE 1097326708 -1091
PAT 1094793206 -1091
TON 1094573483 -1091
DIF 1094447781 -1091
UES 1093884478 -1091
MIT 1091175791 -1091
SOC 1090079564 -1092
SHA 1088317972 -1092
KNO 1087994813 -1092
ROV 1087399037 -1092
NCI 1087234797 -1092
MUS 1085334955 -1092
URA 1083612677 -1092
AFT 1081392153 -1093
LOG 1080913704 -1093
HRO 1080845222 -1093
INF 1078671633 -1093
CAU 1078089074 -1093
LET 1077677454 -1093
ALT 1077612543 -1093
RRE 1076901529 -1093
ANA 1076655840 -1093
ELF 1072288962 -1094
ENG 1072068149 -1094
ETT 1071390354 -1094
ORA 1068437016 -1094
MIS 1067766067 -1095
REG 1067531461 -1095
LIG 1066978562 -1095
EPT 1066672616 -1095
AIL 1066295388 -1095
URN 1065987062 -1095
UTE 1065304600 -1095
ROD 1065013738 -1095
IMA 1062594282 -1095
MEA 1061920786 -1095
TAR 1057905784 -1096
ALE 1055994193 -1096
OLE 1055326048 -1096
OSI 1053469905 -1096
EIN 1052378146 -1097
UTH 1044564536 -1098
WEL 1041901536 -1098
CLA 1041148273 -1098
WEE 1038999155 -1098
TIA 1034746450 -1099
EMB 1034111034 -1099
DAY 1030064586 -1100
ASI 1027882324 -1100
RDE 1027838103 -1100
STU 1027123631 -1100
URS 1027037553 -1100
FOU 1022261274 -1101
IZE 1022022237 -1101
OMI 1020006801 -1101
EFO 1016116936 -1102
LIK 1013577522 -1102
REV 1011248116 -1102
AYS 1005365430 -1103
ELO 1001816277 -1104
RAD 998833818 -1104
DEA 998176981 -1104
TAK 997809257 -1104
SUP 997681045 -1104
SUB 997657281 -1104
SOU 996701032 -1104
ECA 996015864 -1105
EMA 990902887 -1105
ODU 990596720 -1105
YEA 989592751 -1105
ILD 989324892 -1106
SPO 987586071 -1106
LEN 986126642 -1106
MPA 985870333 -1106
DIC 984016286 -1106
PLI 983904792 -1106
FEC 981757516 -1107
RRI 981231076 -1107
EVI 979630535 -1107
ICT 975024267 -1108
TUD 974798180 -1108
LOS 973051701 -1108
CTU 972918524 -1108
LEM 970055754 -1108
HAL 968450734 -1109
TWE 965876224 -1109
ISC 963324995 -1109
ROC 960910746 -1110
CTO 959250391 -1110
ARC 958282541 -1110
SIG 955015092 -1111
AMI 954200048 -1111
KED 947646862 -1112
JEC 947396391 -1112
HAP 945457718 -1112
PTI 944224042 -1112
