E 445155370175 -301 -3.0009163983868863
T 330535289102 -344 -3.430421051300427
A 286527429118 -364 -3.6365521043972624
O 272276534337 -372 -3.710152706753009
I 269731642485 -373 -3.7237005829375556
N 257770795264 -379 -3.789136538916265
S 232082812755 -395 -3.9405856727490867
R 223767519675 -400 -3.9932247171172395
H 180074687596 -431 -4.306629956993642
L 144998552911 -462 -4.619186856231124
D 136017528785 -472 -4.7114327726594905
C 119155568598 -491 -4.902378982618623
U 97273082907 -520 -5.195112810970776
M 89506734085 -532 -5.315157224932815
F 85635440629 -538 -5.378945466969681
P 76112599849 -555 -5.549018152847199
G 66615316232 -575 -5.741299532575338
W 59712390260 -590 -5.899123132985299
Y 59331661972 -591 -5.908351257792756
B 52905544693 -608 -6.07373452334578
V 37532682260 -657 -6.569006057666067
K 19261229433 -754 -7.531453660734462
X 8369138754 -874 -8.73400238155292
J 5657910830 -930 -9.298812108240561
Q 4292916949 -970 -9.697123285260446
Z 3205398166 -1012 -10.11857797204654
